Net,Group,Vnet1,Vnet2
_DRAM_CORE.BANK0.net14246,1,VDDQ,VON
_DRAM_CORE.BANK0.net14247,1,VON,VOFF
_DRAM_CORE.BANK0.net14248,1,VDD,VSSQ
_DRAM_CORE.BANK0.net14249,1,VDD,VSS
_DRAM_CORE.BANK0.net14250,1,VSS,VEXT
_DRAM_CORE.BANK1.net14251,2,VSSQ,VSSQ
_DRAM_CORE.BANK1.net14252,2,VSS,VEXT
_DRAM_CORE.BANK1.net14253,2,VSSQ,VDD
_DRAM_CORE.BANK1.net14254,2,VDD,VEXT
_DRAM_CORE.BANK1.net14255,2,VSSQ,VOFF
_DRAM_CORE.BANK1.net14256,2,VEXT,VSS
_DRAM_CORE.BANK1.net14257,2,VDDQ,VSSQ
_DRAM_CORE.BANK1.net14258,2,VDDQ,VDD
_DRAM_CORE.BANK1.net14259,2,VOFF,VDDQ
_DRAM_CORE.BANK1.net14260,2,VOFF,VON
_DRAM_CORE.BANK2.net14261,3,VDDQ,VEXT
_DRAM_CORE.BANK2.net14262,3,VEXT,VDDQ
_DRAM_CORE.BANK2.net14263,3,VON,VSS
_DRAM_CORE.BANK2.net14264,3,VEXT,VEXT
_DRAM_CORE.BANK2.net14265,3,VOFF,VSS
_DRAM_CORE.BANK2.net14266,3,VDDQ,VDDQ
_DRAM_CORE.BANK2.net14267,3,VON,VSSQ
_DRAM_CORE.BANK2.net14268,3,VEXT,VOFF
_DRAM_CORE.BANK2.net14269,3,VON,VOFF
_DRAM_CORE.BANK2.net14270,3,VDDQ,VDD
_DRAM_CORE.BANK3.net14271,4,VON,VDDQ
_DRAM_CORE.BANK3.net14272,4,VDDQ,VDD
_DRAM_CORE.BANK3.net14273,4,VDD,VDDQ
_DRAM_CORE.BANK3.net14274,4,VSSQ,VDDQ
_DRAM_CORE.BANK3.net14275,4,VOFF,VEXT
_DRAM_CORE.BANK3.net14276,4,VSS,VDD
_DRAM_CORE.BANK3.net14277,4,VSS,VEXT
_DRAM_CORE.BANK3.net14278,4,VSSQ,VON
_DRAM_CORE.BANK3.net14279,4,VDD,VEXT
_DRAM_CORE.BANK3.net14280,4,VDDQ,VSS
_DRAM_CORE.BANK0.net14281,1,VOFF,VDD
_DRAM_CORE.BANK0.net14282,1,VON,VDDQ
_DRAM_CORE.BANK0.net14283,1,VSSQ,VOFF
_DRAM_CORE.BANK0.net14284,1,VOFF,VDDQ
_DRAM_CORE.BANK0.net14285,1,VON,VSS
_DRAM_CORE.BANK0.net14286,1,VSSQ,VSS
_DRAM_CORE.BANK0.net14287,1,VEXT,VEXT
_DRAM_CORE.BANK0.net14288,1,VDD,VDD
_DRAM_CORE.BANK0.net14289,1,VOFF,VEXT
_DRAM_CORE.BANK0.net14290,1,VDD,VEXT
_DRAM_CORE.BANK1.net14291,2,VOFF,VEXT
_DRAM_CORE.BANK1.net14292,2,VDD,VEXT
_DRAM_CORE.BANK1.net14293,2,VDD,VEXT
_DRAM_CORE.BANK1.net14294,2,VOFF,VSSQ
_DRAM_CORE.BANK1.net14295,2,VSSQ,VSSQ
_DRAM_CORE.BANK1.net14296,2,VSSQ,VON
_DRAM_CORE.BANK1.net14297,2,VEXT,VDD
_DRAM_CORE.BANK1.net14298,2,VON,VEXT
_DRAM_CORE.BANK1.net14299,2,VSS,VSS
_DRAM_CORE.BANK1.net14300,2,VSSQ,VDDQ
_DRAM_CORE.BANK2.net14301,3,VON,VDDQ
_DRAM_CORE.BANK2.net14302,3,VSSQ,VON
_DRAM_CORE.BANK2.net14303,3,VOFF,VDD
_DRAM_CORE.BANK2.net14304,3,VSSQ,VEXT
_DRAM_CORE.BANK2.net14305,3,VDD,VOFF
_DRAM_CORE.BANK2.net14306,3,VEXT,VDD
_DRAM_CORE.BANK2.net14307,3,VDDQ,VSSQ
_DRAM_CORE.BANK2.net14308,3,VDDQ,VDDQ
_DRAM_CORE.BANK2.net14309,3,VDD,VSSQ
_DRAM_CORE.BANK2.net14310,3,VEXT,VOFF
_DRAM_CORE.BANK3.net14311,4,VOFF,VON
_DRAM_CORE.BANK3.net14312,4,VSS,VDDQ
_DRAM_CORE.BANK3.net14313,4,VSS,VSSQ
_DRAM_CORE.BANK3.net14314,4,VDD,VOFF
_DRAM_CORE.BANK3.net14315,4,VSSQ,VON
_DRAM_CORE.BANK3.net14316,4,VON,VDD
_DRAM_CORE.BANK3.net14317,4,VOFF,VSSQ
_DRAM_CORE.BANK3.net14318,4,VSSQ,VDD
_DRAM_CORE.BANK3.net14319,4,VON,VEXT
_DRAM_CORE.BANK3.net14320,4,VDD,VSS
_DRAM_CORE.BANK0.net14321,1,VDD,VOFF
_DRAM_CORE.BANK0.net14322,1,VEXT,VSSQ
_DRAM_CORE.BANK0.net14323,1,VEXT,VOFF
_DRAM_CORE.BANK0.net14324,1,VEXT,VOFF
_DRAM_CORE.BANK0.net14325,1,VSS,VON
_DRAM_CORE.BANK0.net14326,1,VSSQ,VON
_DRAM_CORE.BANK0.net14327,1,VEXT,VEXT
_DRAM_CORE.BANK0.net14328,1,VSSQ,VDDQ
_DRAM_CORE.BANK0.net14329,1,VSS,VDD
_DRAM_CORE.BANK0.net14330,1,VEXT,VDD
_DRAM_CORE.BANK1.net14331,2,VSS,VSSQ
_DRAM_CORE.BANK1.net14332,2,VEXT,VDD
_DRAM_CORE.BANK1.net14333,2,VSS,VEXT
_DRAM_CORE.BANK1.net14334,2,VOFF,VEXT
_DRAM_CORE.BANK1.net14335,2,VDD,VSSQ
_DRAM_CORE.BANK1.net14336,2,VEXT,VOFF
_DRAM_CORE.BANK1.net14337,2,VEXT,VSS
_DRAM_CORE.BANK1.net14338,2,VON,VON
_DRAM_CORE.BANK1.net14339,2,VDD,VDD
_DRAM_CORE.BANK1.net14340,2,VOFF,VDD
_DRAM_CORE.BANK2.net14341,3,VDD,VDD
_DRAM_CORE.BANK2.net14342,3,VON,VSS
_DRAM_CORE.BANK2.net14343,3,VOFF,VOFF
_DRAM_CORE.BANK2.net14344,3,VDDQ,VDD
_DRAM_CORE.BANK2.net14345,3,VDDQ,VOFF
_DRAM_CORE.BANK2.net14346,3,VON,VSSQ
_DRAM_CORE.BANK2.net14347,3,VSSQ,VEXT
_DRAM_CORE.BANK2.net14348,3,VSSQ,VOFF
_DRAM_CORE.BANK2.net14349,3,VEXT,VDDQ
_DRAM_CORE.BANK2.net14350,3,VDDQ,VSSQ
_DRAM_CORE.BANK3.net14351,4,VEXT,VSSQ
_DRAM_CORE.BANK3.net14352,4,VEXT,VDD
_DRAM_CORE.BANK3.net14353,4,VSS,VDD
_DRAM_CORE.BANK3.net14354,4,VDD,VDD
_DRAM_CORE.BANK3.net14355,4,VDD,VDD
_DRAM_CORE.BANK3.net14356,4,VEXT,VDDQ
_DRAM_CORE.BANK3.net14357,4,VOFF,VOFF
_DRAM_CORE.BANK3.net14358,4,VOFF,VON
_DRAM_CORE.BANK3.net14359,4,VON,VEXT
_DRAM_CORE.BANK3.net14360,4,VSS,VEXT
_DRAM_CORE.BANK0.net14361,1,VOFF,VOFF
_DRAM_CORE.BANK0.net14362,1,VDDQ,VOFF
_DRAM_CORE.BANK0.net14363,1,VOFF,VDD
_DRAM_CORE.BANK0.net14364,1,VON,VSSQ
_DRAM_CORE.BANK0.net14365,1,VOFF,VDD
_DRAM_CORE.BANK0.net14366,1,VSS,VSSQ
_DRAM_CORE.BANK0.net14367,1,VSS,VSSQ
_DRAM_CORE.BANK0.net14368,1,VDDQ,VDDQ
_DRAM_CORE.BANK0.net14369,1,VDDQ,VOFF
_DRAM_CORE.BANK0.net14370,1,VSSQ,VEXT
_DRAM_CORE.BANK1.net14371,2,VON,VSS
_DRAM_CORE.BANK1.net14372,2,VSSQ,VEXT
_DRAM_CORE.BANK1.net14373,2,VSSQ,VON
_DRAM_CORE.BANK1.net14374,2,VSSQ,VEXT
_DRAM_CORE.BANK1.net14375,2,VOFF,VDD
_DRAM_CORE.BANK1.net14376,2,VEXT,VDD
_DRAM_CORE.BANK1.net14377,2,VON,VSSQ
_DRAM_CORE.BANK1.net14378,2,VDDQ,VON
_DRAM_CORE.BANK1.net14379,2,VSS,VDDQ
_DRAM_CORE.BANK1.net14380,2,VDDQ,VEXT
_DRAM_CORE.BANK2.net14381,3,VON,VON
_DRAM_CORE.BANK2.net14382,3,VON,VDD
_DRAM_CORE.BANK2.net14383,3,VOFF,VOFF
_DRAM_CORE.BANK2.net14384,3,VSS,VON
_DRAM_CORE.BANK2.net14385,3,VOFF,VDD
_DRAM_CORE.BANK2.net14386,3,VOFF,VSS
_DRAM_CORE.BANK2.net14387,3,VDDQ,VOFF
_DRAM_CORE.BANK2.net14388,3,VDD,VDDQ
_DRAM_CORE.BANK2.net14389,3,VDD,VON
_DRAM_CORE.BANK2.net14390,3,VON,VSS
_DRAM_CORE.BANK3.net14391,4,VON,VDD
_DRAM_CORE.BANK3.net14392,4,VEXT,VDDQ
_DRAM_CORE.BANK3.net14393,4,VON,VEXT
_DRAM_CORE.BANK3.net14394,4,VDDQ,VDD
_DRAM_CORE.BANK3.net14395,4,VDDQ,VOFF
_DRAM_CORE.BANK3.net14396,4,VSS,VDDQ
_DRAM_CORE.BANK3.net14397,4,VSSQ,VOFF
_DRAM_CORE.BANK3.net14398,4,VEXT,VSS
_DRAM_CORE.BANK3.net14399,4,VON,VDD
_DRAM_CORE.BANK3.net14400,4,VSS,VDD
_DRAM_CORE.BANK0.net14401,1,VSSQ,VDD
_DRAM_CORE.BANK0.net14402,1,VOFF,VSS
_DRAM_CORE.BANK0.net14403,1,VOFF,VEXT
_DRAM_CORE.BANK0.net14404,1,VSS,VDDQ
_DRAM_CORE.BANK0.net14405,1,VDD,VDD
_DRAM_CORE.BANK0.net14406,1,VSSQ,VSSQ
_DRAM_CORE.BANK0.net14407,1,VDDQ,VOFF
_DRAM_CORE.BANK0.net14408,1,VDDQ,VSS
_DRAM_CORE.BANK0.net14409,1,VOFF,VSSQ
_DRAM_CORE.BANK0.net14410,1,VSS,VOFF
_DRAM_CORE.BANK1.net14411,2,VON,VEXT
_DRAM_CORE.BANK1.net14412,2,VON,VSSQ
_DRAM_CORE.BANK1.net14413,2,VDDQ,VEXT
_DRAM_CORE.BANK1.net14414,2,VDDQ,VEXT
_DRAM_CORE.BANK1.net14415,2,VSSQ,VSSQ
_DRAM_CORE.BANK1.net14416,2,VSSQ,VOFF
_DRAM_CORE.BANK1.net14417,2,VON,VSS
_DRAM_CORE.BANK1.net14418,2,VDDQ,VDDQ
_DRAM_CORE.BANK1.net14419,2,VDD,VDDQ
_DRAM_CORE.BANK1.net14420,2,VDDQ,VDDQ
_DRAM_CORE.BANK2.net14421,3,VSS,VOFF
_DRAM_CORE.BANK2.net14422,3,VON,VEXT
_DRAM_CORE.BANK2.net14423,3,VSSQ,VOFF
_DRAM_CORE.BANK2.net14424,3,VEXT,VDD
_DRAM_CORE.BANK2.net14425,3,VDD,VOFF
_DRAM_CORE.BANK2.net14426,3,VSSQ,VON
_DRAM_CORE.BANK2.net14427,3,VDD,VDD
_DRAM_CORE.BANK2.net14428,3,VON,VDD
_DRAM_CORE.BANK2.net14429,3,VSS,VOFF
_DRAM_CORE.BANK2.net14430,3,VEXT,VSSQ
_DRAM_CORE.BANK3.net14431,4,VON,VDD
_DRAM_CORE.BANK3.net14432,4,VDD,VON
_DRAM_CORE.BANK3.net14433,4,VDDQ,VSSQ
_DRAM_CORE.BANK3.net14434,4,VDD,VSS
_DRAM_CORE.BANK3.net14435,4,VOFF,VDD
_DRAM_CORE.BANK3.net14436,4,VSSQ,VDDQ
_DRAM_CORE.BANK3.net14437,4,VDD,VEXT
_DRAM_CORE.BANK3.net14438,4,VOFF,VON
_DRAM_CORE.BANK3.net14439,4,VDD,VDD
_DRAM_CORE.BANK3.net14440,4,VEXT,VON
_DRAM_CORE.BANK0.net14441,1,VDDQ,VEXT
_DRAM_CORE.BANK0.net14442,1,VSSQ,VON
_DRAM_CORE.BANK0.net14443,1,VON,VON
_DRAM_CORE.BANK0.net14444,1,VDD,VOFF
_DRAM_CORE.BANK0.net14445,1,VSSQ,VOFF
_DRAM_CORE.BANK0.net14446,1,VOFF,VDD
_DRAM_CORE.BANK0.net14447,1,VEXT,VDD
_DRAM_CORE.BANK0.net14448,1,VDDQ,VDDQ
_DRAM_CORE.BANK0.net14449,1,VDD,VSSQ
_DRAM_CORE.BANK0.net14450,1,VSSQ,VOFF
_DRAM_CORE.BANK1.net14451,2,VSSQ,VDDQ
_DRAM_CORE.BANK1.net14452,2,VSSQ,VDDQ
_DRAM_CORE.BANK1.net14453,2,VSS,VON
_DRAM_CORE.BANK1.net14454,2,VSS,VDD
_DRAM_CORE.BANK1.net14455,2,VSS,VEXT
_DRAM_CORE.BANK1.net14456,2,VOFF,VSSQ
_DRAM_CORE.BANK1.net14457,2,VOFF,VDD
_DRAM_CORE.BANK1.net14458,2,VEXT,VDDQ
_DRAM_CORE.BANK1.net14459,2,VSSQ,VOFF
_DRAM_CORE.BANK1.net14460,2,VDD,VON
_DRAM_CORE.BANK2.net14461,3,VDD,VON
_DRAM_CORE.BANK2.net14462,3,VON,VOFF
_DRAM_CORE.BANK2.net14463,3,VSSQ,VDD
_DRAM_CORE.BANK2.net14464,3,VON,VON
_DRAM_CORE.BANK2.net14465,3,VDD,VSS
_DRAM_CORE.BANK2.net14466,3,VSSQ,VSSQ
_DRAM_CORE.BANK2.net14467,3,VDD,VSS
_DRAM_CORE.BANK2.net14468,3,VON,VDDQ
_DRAM_CORE.BANK2.net14469,3,VEXT,VDDQ
_DRAM_CORE.BANK2.net14470,3,VOFF,VSS
_DRAM_CORE.BANK3.net14471,4,VEXT,VDDQ
_DRAM_CORE.BANK3.net14472,4,VSS,VON
_DRAM_CORE.BANK3.net14473,4,VSS,VON
_DRAM_CORE.BANK3.net14474,4,VDD,VEXT
_DRAM_CORE.BANK3.net14475,4,VSS,VDD
_DRAM_CORE.BANK3.net14476,4,VSSQ,VEXT
_DRAM_CORE.BANK3.net14477,4,VON,VOFF
_DRAM_CORE.BANK3.net14478,4,VSS,VEXT
_DRAM_CORE.BANK3.net14479,4,VDDQ,VEXT
_DRAM_CORE.BANK3.net14480,4,VDDQ,VSS
_DRAM_CORE.BANK0.net14481,1,VSSQ,VON
_DRAM_CORE.BANK0.net14482,1,VDD,VEXT
_DRAM_CORE.BANK0.net14483,1,VON,VON
_DRAM_CORE.BANK0.net14484,1,VSSQ,VON
_DRAM_CORE.BANK0.net14485,1,VON,VSS
_DRAM_CORE.BANK0.net14486,1,VDDQ,VOFF
_DRAM_CORE.BANK0.net14487,1,VOFF,VSS
_DRAM_CORE.BANK0.net14488,1,VDD,VDDQ
_DRAM_CORE.BANK0.net14489,1,VOFF,VOFF
_DRAM_CORE.BANK0.net14490,1,VOFF,VSS
_DRAM_CORE.BANK1.net14491,2,VDDQ,VDDQ
_DRAM_CORE.BANK1.net14492,2,VOFF,VOFF
_DRAM_CORE.BANK1.net14493,2,VOFF,VDD
_DRAM_CORE.BANK1.net14494,2,VSS,VDDQ
_DRAM_CORE.BANK1.net14495,2,VSS,VEXT
_DRAM_CORE.BANK1.net14496,2,VSSQ,VON
_DRAM_CORE.BANK1.net14497,2,VDD,VON
_DRAM_CORE.BANK1.net14498,2,VDD,VON
_DRAM_CORE.BANK1.net14499,2,VON,VOFF
_DRAM_CORE.BANK1.net14500,2,VSSQ,VOFF
_DRAM_CORE.BANK2.net14501,3,VEXT,VEXT
_DRAM_CORE.BANK2.net14502,3,VOFF,VEXT
_DRAM_CORE.BANK2.net14503,3,VON,VDDQ
_DRAM_CORE.BANK2.net14504,3,VEXT,VDD
_DRAM_CORE.BANK2.net14505,3,VDDQ,VDD
_DRAM_CORE.BANK2.net14506,3,VOFF,VDD
_DRAM_CORE.BANK2.net14507,3,VON,VDDQ
_DRAM_CORE.BANK2.net14508,3,VON,VSSQ
_DRAM_CORE.BANK2.net14509,3,VDD,VSSQ
_DRAM_CORE.BANK2.net14510,3,VOFF,VSSQ
_DRAM_CORE.BANK3.net14511,4,VDD,VON
_DRAM_CORE.BANK3.net14512,4,VDDQ,VSSQ
_DRAM_CORE.BANK3.net14513,4,VSS,VDDQ
_DRAM_CORE.BANK3.net14514,4,VDD,VOFF
_DRAM_CORE.BANK3.net14515,4,VON,VEXT
_DRAM_CORE.BANK3.net14516,4,VON,VDDQ
_DRAM_CORE.BANK3.net14517,4,VSSQ,VSSQ
_DRAM_CORE.BANK3.net14518,4,VON,VOFF
_DRAM_CORE.BANK3.net14519,4,VSSQ,VON
_DRAM_CORE.BANK3.net14520,4,VSS,VSSQ
_DRAM_CORE.BANK0.net14521,1,VOFF,VEXT
_DRAM_CORE.BANK0.net14522,1,VDD,VSSQ
_DRAM_CORE.BANK0.net14523,1,VON,VDDQ
_DRAM_CORE.BANK0.net14524,1,VOFF,VDD
_DRAM_CORE.BANK0.net14525,1,VOFF,VDDQ
_DRAM_CORE.BANK0.net14526,1,VOFF,VDDQ
_DRAM_CORE.BANK0.net14527,1,VEXT,VSSQ
_DRAM_CORE.BANK0.net14528,1,VON,VDD
_DRAM_CORE.BANK0.net14529,1,VDD,VON
_DRAM_CORE.BANK0.net14530,1,VSS,VON
_DRAM_CORE.BANK1.net14531,2,VON,VSS
_DRAM_CORE.BANK1.net14532,2,VSS,VEXT
_DRAM_CORE.BANK1.net14533,2,VDD,VSS
_DRAM_CORE.BANK1.net14534,2,VDDQ,VEXT
_DRAM_CORE.BANK1.net14535,2,VOFF,VSSQ
_DRAM_CORE.BANK1.net14536,2,VSS,VSSQ
_DRAM_CORE.BANK1.net14537,2,VSSQ,VON
_DRAM_CORE.BANK1.net14538,2,VSS,VOFF
_DRAM_CORE.BANK1.net14539,2,VOFF,VDDQ
_DRAM_CORE.BANK1.net14540,2,VOFF,VSS
_DRAM_CORE.BANK2.net14541,3,VDD,VSSQ
_DRAM_CORE.BANK2.net14542,3,VEXT,VEXT
_DRAM_CORE.BANK2.net14543,3,VDD,VOFF
_DRAM_CORE.BANK2.net14544,3,VOFF,VOFF
_DRAM_CORE.BANK2.net14545,3,VON,VEXT
_DRAM_CORE.BANK2.net14546,3,VDDQ,VON
_DRAM_CORE.BANK2.net14547,3,VDDQ,VSS
_DRAM_CORE.BANK2.net14548,3,VOFF,VDDQ
_DRAM_CORE.BANK2.net14549,3,VEXT,VSSQ
_DRAM_CORE.BANK2.net14550,3,VOFF,VOFF
_DRAM_CORE.BANK3.net14551,4,VDD,VDD
_DRAM_CORE.BANK3.net14552,4,VDD,VDDQ
_DRAM_CORE.BANK3.net14553,4,VEXT,VSS
_DRAM_CORE.BANK3.net14554,4,VDDQ,VDD
_DRAM_CORE.BANK3.net14555,4,VDD,VSS
_DRAM_CORE.BANK3.net14556,4,VSSQ,VSS
_DRAM_CORE.BANK3.net14557,4,VEXT,VEXT
_DRAM_CORE.BANK3.net14558,4,VON,VSS
_DRAM_CORE.BANK3.net14559,4,VEXT,VEXT
_DRAM_CORE.BANK3.net14560,4,VSS,VDDQ
_DRAM_CORE.BANK0.net14561,1,VSSQ,VDDQ
_DRAM_CORE.BANK0.net14562,1,VDDQ,VDD
_DRAM_CORE.BANK0.net14563,1,VSSQ,VON
_DRAM_CORE.BANK0.net14564,1,VSS,VSS
_DRAM_CORE.BANK0.net14565,1,VDD,VON
_DRAM_CORE.BANK0.net14566,1,VSSQ,VSSQ
_DRAM_CORE.BANK0.net14567,1,VON,VDDQ
_DRAM_CORE.BANK0.net14568,1,VOFF,VEXT
_DRAM_CORE.BANK0.net14569,1,VDD,VSSQ
_DRAM_CORE.BANK0.net14570,1,VOFF,VDDQ
_DRAM_CORE.BANK1.net14571,2,VON,VDD
_DRAM_CORE.BANK1.net14572,2,VON,VDDQ
_DRAM_CORE.BANK1.net14573,2,VEXT,VEXT
_DRAM_CORE.BANK1.net14574,2,VDD,VSSQ
_DRAM_CORE.BANK1.net14575,2,VON,VSSQ
_DRAM_CORE.BANK1.net14576,2,VON,VEXT
_DRAM_CORE.BANK1.net14577,2,VDD,VSSQ
_DRAM_CORE.BANK1.net14578,2,VDDQ,VOFF
_DRAM_CORE.BANK1.net14579,2,VSSQ,VON
_DRAM_CORE.BANK1.net14580,2,VEXT,VDD
_DRAM_CORE.BANK2.net14581,3,VSS,VON
_DRAM_CORE.BANK2.net14582,3,VSSQ,VON
_DRAM_CORE.BANK2.net14583,3,VSS,VDD
_DRAM_CORE.BANK2.net14584,3,VDDQ,VSSQ
_DRAM_CORE.BANK2.net14585,3,VSS,VSSQ
_DRAM_CORE.BANK2.net14586,3,VDDQ,VSSQ
_DRAM_CORE.BANK2.net14587,3,VDDQ,VSSQ
_DRAM_CORE.BANK2.net14588,3,VSS,VOFF
_DRAM_CORE.BANK2.net14589,3,VEXT,VSSQ
_DRAM_CORE.BANK2.net14590,3,VSS,VEXT
_DRAM_CORE.BANK3.net14591,4,VSSQ,VOFF
_DRAM_CORE.BANK3.net14592,4,VSS,VDD
_DRAM_CORE.BANK3.net14593,4,VON,VSSQ
_DRAM_CORE.BANK3.net14594,4,VON,VDDQ
_DRAM_CORE.BANK3.net14595,4,VDD,VOFF
_DRAM_CORE.BANK3.net14596,4,VSSQ,VDDQ
_DRAM_CORE.BANK3.net14597,4,VOFF,VSSQ
_DRAM_CORE.BANK3.net14598,4,VSS,VOFF
_DRAM_CORE.BANK3.net14599,4,VON,VOFF
_DRAM_CORE.BANK3.net14600,4,VSS,VEXT
_DRAM_CORE.BANK0.net14601,1,VSS,VDDQ
_DRAM_CORE.BANK0.net14602,1,VOFF,VOFF
_DRAM_CORE.BANK0.net14603,1,VDD,VON
_DRAM_CORE.BANK0.net14604,1,VSSQ,VSS
_DRAM_CORE.BANK0.net14605,1,VSSQ,VON
_DRAM_CORE.BANK0.net14606,1,VON,VDD
_DRAM_CORE.BANK0.net14607,1,VEXT,VDDQ
_DRAM_CORE.BANK0.net14608,1,VDDQ,VDD
_DRAM_CORE.BANK0.net14609,1,VOFF,VDDQ
_DRAM_CORE.BANK0.net14610,1,VEXT,VOFF
_DRAM_CORE.BANK1.net14611,2,VON,VSSQ
_DRAM_CORE.BANK1.net14612,2,VDDQ,VSS
_DRAM_CORE.BANK1.net14613,2,VOFF,VEXT
_DRAM_CORE.BANK1.net14614,2,VDDQ,VON
_DRAM_CORE.BANK1.net14615,2,VSSQ,VSS
_DRAM_CORE.BANK1.net14616,2,VON,VDD
_DRAM_CORE.BANK1.net14617,2,VEXT,VDDQ
_DRAM_CORE.BANK1.net14618,2,VON,VDD
_DRAM_CORE.BANK1.net14619,2,VSS,VOFF
_DRAM_CORE.BANK1.net14620,2,VON,VON
_DRAM_CORE.BANK2.net14621,3,VEXT,VSSQ
_DRAM_CORE.BANK2.net14622,3,VON,VOFF
_DRAM_CORE.BANK2.net14623,3,VDD,VSS
_DRAM_CORE.BANK2.net14624,3,VSS,VON
_DRAM_CORE.BANK2.net14625,3,VSS,VSS
_DRAM_CORE.BANK2.net14626,3,VSS,VDD
_DRAM_CORE.BANK2.net14627,3,VDDQ,VDD
_DRAM_CORE.BANK2.net14628,3,VEXT,VSS
_DRAM_CORE.BANK2.net14629,3,VSS,VOFF
_DRAM_CORE.BANK2.net14630,3,VSSQ,VSS
_DRAM_CORE.BANK3.net14631,4,VDDQ,VSS
_DRAM_CORE.BANK3.net14632,4,VSS,VEXT
_DRAM_CORE.BANK3.net14633,4,VDD,VEXT
_DRAM_CORE.BANK3.net14634,4,VDD,VSS
_DRAM_CORE.BANK3.net14635,4,VDDQ,VDD
_DRAM_CORE.BANK3.net14636,4,VSSQ,VDD
_DRAM_CORE.BANK3.net14637,4,VDD,VON
_DRAM_CORE.BANK3.net14638,4,VSSQ,VEXT
_DRAM_CORE.BANK3.net14639,4,VDD,VSS
_DRAM_CORE.BANK3.net14640,4,VSSQ,VDD
_DRAM_CORE.BANK0.net14641,1,VEXT,VSS
_DRAM_CORE.BANK0.net14642,1,VSS,VDD
_DRAM_CORE.BANK0.net14643,1,VOFF,VDDQ
_DRAM_CORE.BANK0.net14644,1,VDDQ,VEXT
_DRAM_CORE.BANK0.net14645,1,VSS,VEXT
_DRAM_CORE.BANK0.net14646,1,VSS,VSSQ
_DRAM_CORE.BANK0.net14647,1,VDDQ,VDDQ
_DRAM_CORE.BANK0.net14648,1,VEXT,VOFF
_DRAM_CORE.BANK0.net14649,1,VSS,VDD
_DRAM_CORE.BANK0.net14650,1,VON,VDD
_DRAM_CORE.BANK1.net14651,2,VON,VDDQ
_DRAM_CORE.BANK1.net14652,2,VOFF,VOFF
_DRAM_CORE.BANK1.net14653,2,VSSQ,VOFF
_DRAM_CORE.BANK1.net14654,2,VSSQ,VSSQ
_DRAM_CORE.BANK1.net14655,2,VDD,VSS
_DRAM_CORE.BANK1.net14656,2,VOFF,VEXT
_DRAM_CORE.BANK1.net14657,2,VDDQ,VSSQ
_DRAM_CORE.BANK1.net14658,2,VSS,VEXT
_DRAM_CORE.BANK1.net14659,2,VSS,VEXT
_DRAM_CORE.BANK1.net14660,2,VSSQ,VDD
_DRAM_CORE.BANK2.net14661,3,VDD,VON
_DRAM_CORE.BANK2.net14662,3,VSSQ,VDDQ
_DRAM_CORE.BANK2.net14663,3,VOFF,VSSQ
_DRAM_CORE.BANK2.net14664,3,VEXT,VDD
_DRAM_CORE.BANK2.net14665,3,VDDQ,VDD
_DRAM_CORE.BANK2.net14666,3,VSS,VEXT
_DRAM_CORE.BANK2.net14667,3,VDDQ,VOFF
_DRAM_CORE.BANK2.net14668,3,VOFF,VON
_DRAM_CORE.BANK2.net14669,3,VON,VOFF
_DRAM_CORE.BANK2.net14670,3,VDD,VSS
_DRAM_CORE.BANK3.net14671,4,VOFF,VSSQ
_DRAM_CORE.BANK3.net14672,4,VEXT,VON
_DRAM_CORE.BANK3.net14673,4,VEXT,VON
_DRAM_CORE.BANK3.net14674,4,VDD,VOFF
_DRAM_CORE.BANK3.net14675,4,VON,VDD
_DRAM_CORE.BANK3.net14676,4,VOFF,VOFF
_DRAM_CORE.BANK3.net14677,4,VOFF,VDD
_DRAM_CORE.BANK3.net14678,4,VEXT,VSS
_DRAM_CORE.BANK3.net14679,4,VEXT,VDD
_DRAM_CORE.BANK3.net14680,4,VSSQ,VSSQ
_DRAM_CORE.BANK0.net14681,1,VDD,VSS
_DRAM_CORE.BANK0.net14682,1,VDD,VON
_DRAM_CORE.BANK0.net14683,1,VDDQ,VEXT
_DRAM_CORE.BANK0.net14684,1,VEXT,VDDQ
_DRAM_CORE.BANK0.net14685,1,VON,VDD
_DRAM_CORE.BANK0.net14686,1,VDDQ,VOFF
_DRAM_CORE.BANK0.net14687,1,VDDQ,VSS
_DRAM_CORE.BANK0.net14688,1,VSS,VOFF
_DRAM_CORE.BANK0.net14689,1,VON,VOFF
_DRAM_CORE.BANK0.net14690,1,VEXT,VDD
_DRAM_CORE.BANK1.net14691,2,VDDQ,VSS
_DRAM_CORE.BANK1.net14692,2,VOFF,VSSQ
_DRAM_CORE.BANK1.net14693,2,VON,VOFF
_DRAM_CORE.BANK1.net14694,2,VEXT,VSSQ
_DRAM_CORE.BANK1.net14695,2,VEXT,VOFF
_DRAM_CORE.BANK1.net14696,2,VDDQ,VSS
_DRAM_CORE.BANK1.net14697,2,VON,VSS
_DRAM_CORE.BANK1.net14698,2,VDD,VON
_DRAM_CORE.BANK1.net14699,2,VSSQ,VON
_DRAM_CORE.BANK1.net14700,2,VEXT,VON
_DRAM_CORE.BANK2.net14701,3,VEXT,VDDQ
_DRAM_CORE.BANK2.net14702,3,VSSQ,VDDQ
_DRAM_CORE.BANK2.net14703,3,VOFF,VDD
_DRAM_CORE.BANK2.net14704,3,VDD,VDD
